Category,Name,Followers,Views,UserName,Gender,Gender_Perchantage
"Auto, Comedy, ",The Rider 🏍️💨,245.7K,361.4K,@baymax_biker,Female,54%
"Comedy, , ",Joe,33M,5.1M,@joealbanese,Female,71%
"Comedy, Vlog, Outfit",Monsieur Pof,1.5M,793K,@monsieurpof,Female,73%
"Comedy, Video Games, ",Danjon Masuta,792.7K,1M,@danjonmasuta,Male,60%
"Interviews, Comedy, Vlog",Lucas O’bonnet 👲🏻,1.3M,552.5K,@lucasobonnet,Female,81%
"Comedy, Vlog, ",เชษฐ์เข้!!,545.5K,2.4M,@shet_ke,Female,54%
"Comedy, Vlog, ",Abdullahi is my name btw,3.8M,763.1K,@itsyaboymaina,Female,51%
"Dance, Love & Dating, Comedy",Riyad et Selma,293.2K,95.4K,@riyadetselma,Female,80%
"Dance, Vlog, ",Samuel Lopez,18.1M,2.4M,@samuellopez_,Female,82%
"Pop Culture, Drama, Comedy",Bex,433K,204.9K,@bexinblue,Female,80%
"Dance, Comedy, Vlog",jaycolindres,1.8M,912.5K,@jaycolindres,Female,83%
"Drama, Love & Dating, Comedy",La Chulis Y Kimberly La Bonita,1.3M,2.8M,@artesol956,Female,88%
"Drama, Comedy, Vlog",Casey Alan,726.4K,128.1K,@caseyalan,Male,62%
"Dance, Hair, Family & Parenting",BB,4.4M,995.9K,@bemagnificent,Female,88%
"Comedy, Vlog, ",Heyitsmurphy,1.7M,2.5M,@hey_itsmurphy,Female,59%
"Dance, Interviews, +1",Tommy,10M,2.2M,@tommyunold,Female,65%
"Love & Dating, Comedy, Vlog",TheRealHammyTV,10.6M,3.1M,@therealhammytv,Male,51%
"Comedy, Celebrity Account, Vlog",Jesse Chuku,2.8M,3.6M,@chewkz,Male,53%
"Dance, Vlog, ",Franz Miaco,4.6M,1M,@franzmiaco11,Female,83%
"Dance, Vlog, ",La’Ron®🎤,8.5M,1.5M,@laronhinesofficial,Female,79%
"Dance, Cosplay, +1",💫 Ken 💫,1.1M,272.2K,@lovebunnycosplay,Female,88%
"Dance, Instrument, Vlog",“Drummer girl”,2.4M,302.1K,@kennedyjardine,Female,68%
"Comedy, Vlog, Pets",Lincolninlove,343.6K,254.7K,@lincolninlove,Female,83%
"Comedy, Vlog, ",Black Goku,1.7M,375.1K,@notkcurry00,Female,61%
"Hair, Comedy, ",Victoria Adeyinka,15M,5.3M,@victoriaadeyinkaa,Female,78%
"Comedy, Vlog, ",Nicque Marina,1.2M,113.2K,@nicquemarina,Female,77%
"Drama, Comedy, Vlog",Martino,2.1M,1.1M,@martinojmp1,Male,65%
"Comedy, Vlog, +1",brigreenie,195.8K,103.1K,@brigreenie,Female,89%
"Comedy, Vlog, Video Games",Lil Jr,1.6M,167.3K,@liljr_ltd,Male,59%
"Comedy, Vlog, ",Michou,4.9M,3.8M,@michou_yt,Female,58%
"Dance, Vlog, Accessories",Bmoe_34,1.4M,285.6K,@bmoe_34,Female,60%
"Love & Dating, Comedy, ",🌈  E L S A  &  M E L ☀️,2M,420.1K,@elles_sassument_off,Female,76%
"Dance, Vlog, ",TyBott,2.6M,621.3K,@tybottofficial,Female,85%
"Dance, Vlog, Outfit",Nathan,1.9M,650.5K,@nathns,Female,83%
"Hair, Makeup, Comedy",🇮🇹 Стефи Шейди 🗿,1.4M,855.1K,@stefy.shady,Female,86%
"Comedy, Celebrity Account, Vlog",Josh Sundquist,1.9M,760.9K,@josh.sundquist,Female,61%
"Drama, Comedy, Vlog",Baron Ryan,1.3M,716.7K,@americanbaron,Female,59%
"Dance, Vlog, ",Ch4knu,3.5M,4.5M,@ch4knulovesall,Male,61%
"Dance, Vlog, ",🐉,2.9M,679.3K,@syeraplitt,Female,85%
"Drama, Comedy, Vlog",Lilou vous spam,2.4M,222.1K,@lilou.grmmspam,Female,80%
"Comedy, Vlog, Outfit",iAmJordi,7.6M,493.3K,@iamjordiofficial,Female,84%
"Comedy, Vlog, ",Gray,3.1M,3.2M,@graysworld,Female,66%
"Dance, Traditional Sports, Vlog",Amber,994K,1.1M,@amberglenniceskater,Female,74%
"Dance, Comedy, Vlog",The Real Rahul Rai,3.4M,359.3K,@therealrahulrai,Female,80%
"Comedy, Vlog, ",Danieltopanofficial,2.4M,9.6M,@danieltopanofficial,Male,52%
"Comedy, Vlog, ",guava,6.3M,3.6M,@guavajuice,Female,61%
"Dance, Vlog, ",noah beck,29.4M,2.7M,@noahbeck,Female,82%
"Comedy, Vlog, ",Kaan,1.3M,1.7M,@kaan.etm,Female,57%
"Comedy, Vlog, ",Paqjonathan,1.3M,414.2K,@paqjonathan69,Female,86%
"Comedy, Cosplay, +1",CackleQueen😂👑,2.1M,363.8K,@kirisimpa,Female,74%
"Comedy, Vlog, ",Grace Reiter 👁👄👁,1.6M,590.1K,@reitergrace,Female,86%
"Drama, Comedy, Vlog",Stage Door Johnny,1.2M,327K,@stage_door_johnny,Female,64%
"Comedy, Pop Culture, +1",Steve Harvey,6M,2.8M,@steveharvey,Female,65%
"Comedy, Slime & ASMR, Makeup",Arianna,1.5M,893K,@arienne.makeup,Female,85%
"Comedy, Vlog, +1",Poopi Blh,1.4M,764.7K,@poopiblh,Female,87%
"Drama, Comedy, Vlog",PatD Lucky,2.9M,612.6K,@patdlucky,Female,79%
"Dance, Vlog, ",Chammy 🦁,1M,555.2K,@porojin,Female,76%
"Comedy, Family & Parenting, ",Abraham Piper,1.1M,112.3K,@abrahampiper,Female,71%
"Comedy, Vlog, ",Noholito,3.7M,2.3M,@noholito,Female,79%
"Drama, Comedy, Vlog",Sammy Edan,579.5K,1.2M,@thewsammy,Male,62%
"Dance, Family & Parenting, Vlog",MegMota,1.6M,749.1K,@meganmota,Female,64%
"Comedy, Vlog, ",StinkyRat,3.8M,1.8M,@stinkyasher,Female,79%
"Comedy, Vlog, ",<3李,1.9M,802.3K,@ruesaint,Female,71%
"Comedy, Vlog, ",jenningsbrower,3.3M,355.5K,@jenningsbrower,Female,74%
"Comedy, Vlog, ",PRIMKUNG,1.1M,1M,@primkung007,Male,68%
"Makeup, Comedy, Outfit",Bob The Drag Queen,1.1M,89.4K,@bobthedragqueen,Female,80%
"Love & Dating, Comedy, Vlog",Jaylin & Makayla💕,5.3M,1M,@makayla.domagalski1,Female,75%
"Comedy, , ",dylan.nalbandian,1M,1.8M,@dylan.nalbandian,Female,81%
"Comedy, Hair, +2",24kGoldn,5.5M,615K,@24kgoldn,Female,51%
"Vlog, Video Games, Technology",ShearsyVR,2.1M,2.5M,@shearsyvr,Male,68%
"Dance, Love & Dating, Comedy",Karen Mendoza,1.7M,2.1M,@karenmendoza_xo,Female,77%
"Dance, Love & Dating, Vlog",bella,3.8M,1.6M,@bellaretamosa,Female,81%
"Comedy, Vlog, ",Joe Dombrowski,893.5K,738K,@mrdtimes3,Female,85%
"Dance, Hair, Makeup",Megnutt02,8.1M,1.8M,@megnutt02,Male,63%
"Comedy, Health, ",The Braces Guy,3.8M,1.8M,@thebracesguy,Female,80%
