Category,Name,Followers,Views,UserName,Gender,Gender_Perchantage
"Comedy, Vlog, ",Jake Joseph Everett-Rose,1.8M,2.5M,@jjeverettrose,Male,52%
"Comedy, Vlog, ",𝙏𝙃𝙀𝙊𝙎,644.8K,512.6K,@theos.mp4,Female,52%
"Comedy, Vlog, ",PANDA BOI,6.8M,1.9M,@pandaboi.com,Female,67%
"Dance, Education, +1",Alicia Dougherty,1.1M,430.2K,@doughertydozen,Female,87%
"Comedy, Vlog, ",Scott 🔥,27.7M,4.4M,@scottsreality,Female,53%
"Dance, Vlog, ",alyssa <3,320.8K,289.2K,@lyssalevin,Female,50%
"Dance, , ",Success Myers,1.4M,82.4K,@booitz,Female,59%
"Comedy, Vlog, ",Raymond,958.5K,629.4K,@stoveraymond,Female,53%
"Comedy, Vlog, ",Adam Shi,4.3M,530.6K,@adamsheey,Female,51%
"Comedy, Vlog, ",elon musky,1.4M,951.3K,@bradyszuhaj,Female,59%
"Pop Culture, Comedy, Vlog",Charles Brockman III,3.5M,1.3M,@theonlycb3,Female,83%
"Comedy, Vlog, Pets",funnyvideo,1.7M,272.6K,@funny_video582,Male,61%
"Dance, Vlog, ",bradeazy,2.5M,661.7K,@bradeazy,Male,66%
"Comedy, Vlog, ",Nicolas Roman,5.6M,711.9K,@xtheromanempire,Female,61%
"Drama, Comedy, Accessories",ike Dweck,2.8M,1.6M,@ike_dweck,Female,63%
"Dance, Vlog, ",Love So Real ❤️,4.1M,3.7M,@lovesoreal,Female,84%
"Technology, , ",Lucas | LucidVR,382.5K,176.8K,@lucas_vrtech,Male,60%
"Comedy, Vlog, ",Brett Mooswa,631.6K,294.4K,@brettstoise,Female,51%
"Comedy, , ",Simba,8.4M,1.8M,@baby_simba47,Female,52%
"Comedy, , ",Jon Harris,2.5M,760.6K,@cowphobia86,Female,55%
"Comedy, Vlog, ",Fahad Kaleem,345.3K,236.2K,@fahaadk_,Male,61%
"Comedy, Vlog, Video Games",helena & lyds,904.7K,945.3K,@robloxxhelenaa,Female,90%
"Dance, Vlog, ",Donae,3.3M,512.7K,@original.don,Female,87%
"Dance, Vlog, ",SwagBoyQ on IG,17M,3M,@swagboyq,Female,54%
"Technology, , ",Vector,3.6M,851.6K,@vector_the_robot0,Male,51%
"Family & Parenting, Comedy, Vlog",Emily Villegas,1.4M,380.3K,@emily_v30,Female,85%
"Dance, Food Art & Discovery, +1",B,1.2M,532.9K,@brandontylerss,Female,90%
"Dance, Hair, Vlog",LaysieB,1.6M,159.3K,@laysieeeb,Female,85%
"Comedy, Vlog, ",Cool Grandpa👴🏼,2.9M,2.2M,@theverycoolgrandpa,Male,50%
"Dance, Comedy, Vlog",Mudyandshamy,2.4M,714.8K,@mudyandshamy,Female,85%
"Dance, , ",Tracy Joseph,1.2M,1.9M,@tracy.oj,Female,88%
"Comedy, Family & Parenting, ",Joe Mele,13.9M,4.7M,@mmmjoemele,Female,62%
"Dance, , ",avemoves,9.5M,1.7M,@avemoves,Female,60%
"Comedy, , ",Fernanduche,3.4M,2.1M,@fernanduche,Female,78%
"Dance, Art, Vlog",ROSELIN LLANES,3.3M,506.6K,@roselinllanes,Female,73%
"Technology, Education, +1",tntcreations100,2.2M,3.8M,@clawcraziness,Female,55%
"Comedy, Vlog, ",Jenna & Seth,5.3M,858.6K,@jennaandseth,Female,79%
"Comedy, Vlog, Pets",Maya the Husky,3.8M,1.4M,@maya.husky,Female,66%
"Drama, Comedy, Vlog",✨Adrian Is Cute Bro✨,3.9M,844.4K,@broisfunny,Female,53%
"Comedy, Art, ",Julia Gisella,5.2M,2.7M,@juliagisella,Female,73%
"Comedy, Vlog, Celebrity Account",Cam Holmes,1.1M,4.3M,@camholmess,Female,87%
"Comedy, Vlog, ",kylescheele,2.1M,169.4K,@kylescheele,Female,68%
"Comedy, Vlog, ",Namfon,369.9K,535.6K,@nam_patcharaporn,Female,72%
"Comedy, Vlog, ",junpei zaki,4.3M,778K,@junpei.zaki,Female,51%
